SMILES,id,charge,connecting atom element,connecting atom index
c1ccccn1,RUCBEY-subgraph-1,0,N,1
CP(C)C,WECJIA-subgraph-3,0,P,1
N#CC,KEYRUB-subgraph-1,0,N,1
[C-]#[N+]c1c(C)cccc1C,NURKEQ-subgraph-2,0,C,1
O,MEBXUN-subgraph-1,0,O,1
n1c(cccc1C)C,BIFMOV-subgraph-1,0,N,1
CP(C)c1ccccc1,CUJYEL-subgraph-2,0,P,1
n1ccc(cc1)C,EZEXEM-subgraph-1,0,N,1
n1cccc(c1)Cl,FOMVUB-subgraph-2,0,N,1
[C-]#[N+]C(C)(C)C,EFIHEJ-subgraph-3,0,C,1
CN1[C]N(C)C=C1,LETTEL-subgraph-1,0,C,2
n1ccn(c1)C,KAKKIR-subgraph-3,0,N,1
[C-]#[N+]C1CCCCC1,BICRIQ-subgraph-3,0,C,1
S(=O)(C)C,UPEGAZ-subgraph-2,0,S,1
O1CCNCC1,CEVJAP-subgraph-2,0,N,1
n1[nH]c(cc1C)C,BABTUT-subgraph-3,0,N,1
C(C)NCC,ZEJJEF-subgraph-3,0,N,1
n1ccc(cc1)N(C)C,KULGAZ-subgraph-2,0,N,1
[C-]#[O+],CIGDAA-subgraph-1,0,C,1
c1ccnc(c1)N,HOVMIP-subgraph-3,0,N,1
N,ULUSIE-subgraph-1,0,N,1
S(C)C,IBEKUV-subgraph-1,0,S,1
CS(=O)C,REQSUD-subgraph-2,0,O,1
NCC,BOSJIF-subgraph-1,0,N,1
n1c(cc(cc1C)C)C,GUVMEP-subgraph-0,0,N,1
[Cl-],MAZJIJ-subgraph-0,-1,Cl,1
[Br-],OBONEA-subgraph-1,-1,Br,1
[I-],CORTOU-subgraph-2,-1,I,1
[CH3-],LEVGUO-subgraph-2,-1,C,1
[C-]1=C(F)C(=C(C(=C1F)F)F)F,REBWEB-subgraph-2,-1,C,1
C1=C[C-]=CC=C1,DOGPAS-subgraph-1,-1,C,3
O=N(=O)[O-],IJIMIX-subgraph-1,-1,O,1
[N-]=[N+]=[N-],PEJGAN-subgraph-1,-1,N,1
S1(=O)(=O)[N-]C(=O)c2c1cccc2,BIFZEX-subgraph-0,-1,N,1
[C-]#N,IRIXUC-subgraph-3,-1,C,1
[S-]C#N,SAYGOO-subgraph-0,-1,S,1
[F-],UROGIS-subgraph-1,-1,F,1
[C-](F)(F)F,MAQKEX-subgraph-1,-1,C,1
O=N[O-],LUQWUQ-subgraph-1,-1,N,1
C[C-]=O,QAYDID-subgraph-2,-1,C,2
C1CC(=O)[N-]C1=O,MOYDOV-subgraph-3,-1,N,1
[C-]1=CC=C(C=C1)F,NIZQUK-subgraph-1,-1,C,1
[S-]C#N,SAYHIJ-subgraph-1,-1,N,1
O=[C-]OC,CIQGOY-subgraph-0,-1,C,1
[S-]c1ccccc1,VUFZUT-subgraph-1,-1,S,1
[O-]c1ccccc1,ZOQFIU-subgraph-0,-1,O,1
[S-]c1c(c(cc(c1F)F)F)F,GUQBUQ-subgraph-0,-1,S,1
[C-]1=CC=C(C=C1)C,LEZYUM-subgraph-2,-1,C,1
[N-]1C(=O)c2c(C1=O)cccc2,RAJXUX-subgraph-2,-1,N,1
c1c(C#[C-])cccc1,QEWZOH-subgraph-3,-1,C,4

